episode,participant,pair_id,mode,path_rmse_mm,normal_offset_median_mm,normal_offset_rmse_mm,orientation_rmse_deg,speed_median_mm_s,speed_p95_mm_s,accel_p95_mm_s2,force_median_n,force_p95_n,force_rate_p95_n_s,duration_s,end_reason
comparison_wk_wk-03_darboux_0709_213525,wk,wk-03,darboux,5.881977959745601,14.546295343173771,15.006282036519698,7.246536209248245,3.8227577364732115,11.876610936363619,125.42934567095935,3.8235003996434314,8.49891513943322,4.195000452936936,18.8130098670008,reached
comparison_wk_wk-03_full_joint_0709_213654,wk,wk-03,full_joint,9.17305282035628,7.499871870018229,8.860628658924606,55.75805432565616,7.88225738706554,30.146657076767614,204.96865289072997,7.454777685435231,18.121859806288015,22.222223486108387,37.512476452000556,reached
comparison_wk_wk-04_darboux_0709_215253,wk,wk-04,darboux,3.0333188868591834,17.94332848138638,17.99796978686207,5.9399858274132855,3.368582679856101,15.544310134104222,136.8599891046116,2.805369324362485,5.159422942769303,3.8112692723242105,14.966146861001107,reached
comparison_wk_wk-04_full_joint_0709_215407,wk,wk-04,full_joint,7.159098748718303,13.259072972065976,14.130772386988703,43.73784746170358,6.499227970447599,35.14653279742449,263.07804974230754,4.570997324328278,8.96395280270532,37.6207388598961,7.422697103998871,reached
comparison_wk_wk-05_darboux_0709_215515,wk,wk-05,darboux,3.0790942177345575,12.14763064692707,13.324952392587832,8.013093344329715,3.9321949564068226,11.445446407305845,104.46523245093155,3.6975189361359724,5.273462817206248,3.3040628489214017,17.26387069699922,reached
comparison_wk_wk-05_full_joint_0709_215618,wk,wk-05,full_joint,3.5973488009148418,11.58016892608619,11.084076286877666,39.081235400262095,6.637149070801266,29.194428834008068,228.5452374986905,3.0395030783500063,15.236016048796333,16.627572304338152,19.69012303099953,reached
comparison_wk_wk-06_darboux_0709_215734,wk,wk-06,darboux,2.9444725280145163,9.753508395798704,11.976226595095914,10.368030140442265,2.901284012835498,12.67490526707389,116.50207494617766,3.48826913474669,6.645086816741587,3.1532114658999433,23.761606231999394,reached
comparison_wk_wk-06_full_joint_0709_215833,wk,wk-06,full_joint,10.584333140147685,11.905720595077995,12.65481316505951,49.293764745338045,9.419302721705503,40.076066877068435,303.7535326082888,5.232875188383351,12.995235976845908,24.28780199379523,18.794952021000427,reached
comparison_wk_wk-07_darboux_0709_215956,wk,wk-07,darboux,2.331648396692753,20.421187603592898,20.55185964410472,3.223869056813384,3.556166017315385,12.177056594855443,127.90194807994774,5.685264178383768,10.71647584235448,6.684686822598941,16.668291803000102,reached
comparison_wk_wk-07_full_joint_0709_220153,wk,wk-07,full_joint,7.1231877826621135,14.93604744411893,14.976006212637124,47.56964753687116,10.452422454296883,37.12459538349576,247.03094235530327,13.681169203676998,29.726407481315146,39.878866619564846,8.911734367000463,reached
comparison_wk_wk-08_darboux_0709_220324,wk,wk-08,darboux,8.700397580716727,19.9509375218194,19.84556528149851,8.567210438294557,2.777437937950806,12.075402459212217,119.34972359652276,4.774688165433904,9.243788094606867,4.9551113855251065,28.20354719399984,reached
