ts_plus,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33,probe_visible
526.911,0.785334679792,0.490245454089,0.378032849712,-18.2356536976,-0.266369552704,0.818819496666,-0.508509481988,-94.6773053005,-0.55883512963,0.298653690123,0.773633809543,-778.775808013,0,0,0,1,1
526.971,0.782110321568,0.489906520295,0.385090958437,-16.9838294983,-0.263287937879,0.819914252164,-0.50835035248,-95.7994308472,-0.564785717476,0.296196253304,0.7702498769,-777.652282715,0,0,0,1,1
527.034,0.778877337146,0.488132423752,0.393797956525,-15.3784781622,-0.260670467048,0.823041661532,-0.50463187671,-96.6946976355,-0.570439305527,0.290394835121,0.768290204574,-775.931459605,0,0,0,1,1
527.095,0.775845531852,0.48862736405,0.399132822262,-14.2886503387,-0.261048345604,0.824538708941,-0.501985735569,-97.7933185999,-0.574384428726,0.285270427067,0.767270038173,-774.045843726,0,0,0,1,1
527.178,0.770942840846,0.488433431709,0.408754105714,-12.2748376678,-0.259409184062,0.826941768762,-0.498872915982,-99.4755450032,-0.581682053507,0.278567934023,0.764228954412,-771.527317424,0,0,0,1,1
527.218,0.767437324687,0.487133264445,0.416822666548,-10.7516414212,-0.255271904603,0.828558183913,-0.498324784244,-100.335886356,-0.588112410512,0.276029923274,0.76021791222,-770.44986962,0,0,0,1,1
527.303,0.759282261059,0.484505779891,0.434447462064,-7.60317437179,-0.247493070204,0.832425510298,-0.495797287212,-101.776242455,-0.601861801615,0.268927349033,0.751957746618,-768.668519284,0,0,0,1,1
527.362,0.754042364078,0.483698354903,0.444360230714,-5.50772273495,-0.244114473176,0.83444505184,-0.494074467511,-102.750897101,-0.609777202888,0.264078315891,0.747284688665,-767.244192649,0,0,0,1,1
527.422,0.751020220085,0.481077237597,0.452253601964,-3.68283496061,-0.242019935527,0.837840345908,-0.489336188704,-103.335037823,-0.614324816226,0.258046984548,0.745665323007,-765.743456916,0,0,0,1,1
527.48,0.74999832533,0.481419302349,0.453583473386,-2.39014485684,-0.245470476947,0.839362792462,-0.484989017997,-104.208391329,-0.614204165527,0.252399599754,0.747694914449,-763.604179055,0,0,0,1,1
